Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Verona;5.113;+1;+0,02%
Padova;3.943;0;0%
Vicenza;2.855;0;0%
Venezia;2.679;+1;+0,04%
Treviso;2.666;+1;+0,04%
Belluno;1.183;+1;+0,08%
Rovigo;443;0;0%
