Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Torino;15.820;+17;+0,11%
Alessandria;4.034;+15;+0,37%
Cuneo;2.834;+4;+0,14%
Novara;2.749;+1;+0,04%
Asti;1.867;+1;+0,05%
Vercelli;1.315;-1;-0,08%
Verbano-Cusio-Ossola;1.118;+1;+0,09%
Biella;1.042;0;0%
