Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Cosenza;468;0;0%
Reggio di Calabria;277;0;0%
Catanzaro;214;0;0%
Crotone;118;0;0%
Vibo Valentia;83;0;0%
