Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Roma;5.866;+10;+0,17%
Frosinone;622;0;0%
Latina;549;0;0%
Viterbo;428;0;0%
Rieti;397;0;0%
