Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Ancona;33.080;+1;+0,00%
Pesaro e Urbino;23.429;+1;+0,00%
Macerata;21.367;0;0%
Ascoli Piceno;11.468;0;0%
Fermo;10.292;0;0%
Fuori Regione / Provincia Autonoma;4.155;+2;+0,05%
In fase di definiz. / aggiornamento;0;0;
