Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Udine;50.155;+31;+0,06%
Trieste;20.598;+35;+0,17%
Pordenone;20.461;+19;+0,09%
Gorizia;12.773;+22;+0,17%
Fuori Regione / Provincia Autonoma;1.169;+1;+0,09%
In fase di definiz. / aggiornamento;0;0;
