Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Reggio di Calabria;14.309;+106;+0,75%
Cosenza;10.709;+6;+0,06%
Catanzaro;5.171;+1;+0,02%
Vibo Valentia;3.393;+5;+0,15%
Crotone;2.763;0;0%
Fuori Regione / Provincia Autonoma;359;0;0%
In fase di definiz. / aggiornamento;0;0;
