Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Palermo;59.051;+566;+0,97%
Catania;48.635;+343;+0,71%
Messina;22.954;+127;+0,56%
Siracusa;13.295;+105;+0,80%
Trapani;12.119;+104;+0,87%
Ragusa;10.303;+58;+0,57%
Caltanissetta;9.428;+79;+0,85%
Agrigento;9.283;+128;+1,40%
Enna;5.455;+32;+0,59%
In fase di definiz. / aggiornamento;0;0;
Fuori Regione / Provincia Autonoma;0;0;
