Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Bari;27.455;+538;+2,00%
Foggia;16.022;+255;+1,62%
Taranto;8.633;+281;+3,36%
Barletta-Andria-Trani;8.364;+253;+3,12%
Lecce;5.513;+92;+1,70%
Brindisi;5.315;+44;+0,83%
Fuori Regione / Provincia Autonoma;441;+6;+1,38%
In fase di definiz. / aggiornamento;54;+9;+20,00%
