Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Napoli;40.730;+1.818;+4,67%
Caserta;10.570;+443;+4,37%
Salerno;6.746;+495;+7,92%
Avellino;3.082;+41;+1,35%
Benevento;1.056;0;0%
In fase di definiz. / aggiornamento;277;+64;+30,05%
Fuori Regione / Provincia Autonoma;0;0;
