Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Bologna;5.229;+8;+0,15%
Reggio nell'Emilia;4.913;+5;+0,10%
Piacenza;4.428;0;0%
Modena;3.873;-1;-0,03%
Parma;3.657;+3;+0,08%
Rimini;2.147;+1;+0,05%
Forlì-Cesena;1.740;+4;+0,23%
Ferrara;1.044;+3;+0,29%
Ravenna;1.030;0;0%
Fuori Regione / Provincia Autonoma;412;-2;-0,48%
In fase di definizione;19;-1;-5,00%
