Provincia;Casi totali;Var Casi totali (Nuovi positivi);Var Casi totali %
Torino;93.804;+771;+0,83%
Cuneo;24.267;+165;+0,68%
Alessandria;15.371;+114;+0,75%
Novara;13.623;+121;+0,90%
Asti;8.291;+101;+1,23%
Vercelli;6.666;+44;+0,66%
Biella;6.124;+73;+1,21%
Verbano-Cusio-Ossola;5.839;+35;+0,60%
In fase di definiz. / aggiornamento;1.575;+24;+1,55%
Fuori Regione / Provincia Autonoma;959;+8;+0,84%
